"","NCT.Number","Study.Title","Study.Status","Brief.Summary","Study.Results","Conditions","Interventions","Primary.Outcome.Measures","Sex","Age","Phases","Enrollment","Funder.Type","Study.Type","Study.Design","Start.Date","Primary.Completion.Date","Completion.Date","First.Posted","Results.First.Posted","Last.Update.Posted","Locations","type_intervention"
"1126","NCT04611854","Internet-delivered Therapy for Alcohol Misuse: Investigating Patient Preference for Self-guided or Guided Treatment","COMPLETED","Internet-delivered cognitive behaviour therapy (ICBT) shows promise as a method of treating alcohol misuse. In this form of treatment, patients complete online lessons over several weeks that assist patients in developing skills to address alcohol misuse. ICBT can be offered to patients in a self-guided format or with guidance. Self-guided ICBT allows users to complete lessons by themselves without any contact with a guide. Guided ICBT involves having support from a guide in the form of emails, online messages and/or brief telephone calls. In some studies, guided-ICBT has shown greater reductions in alcohol consumption than self-guided ICBT. To date, there has been limited research on patient preferences for these varying levels of support when ICBT is offered as part of routine health care. This represents an important research direction as there is some past research showing that patients' treatment preferences can affect study enrollment, attrition, adherence, satisfaction, and outcomes.

This study will investigate patient preferences for self-guided ICBT versus guided-ICBT and compare enrollment, attrition, adherence, and outcomes of the two approaches when patients select their treatment preferences. The study will also explore the extent to which preferences are related to patient background variables (e.g., duration, severity of problems, treatment goals in terms of patients wanting to cut-down on alcohol use versus to abstain from alcohol use). Furthermore, this study seeks to identify how ratings of effort and helpfulness throughout treatment vary depending on whether patients select self-guided versus guided ICBT. This study represents a pragmatic observational trial conducted in routine care and aims to increase understanding of how to implement ICBT within routine care.","NO","Alcohol Use Disorder","BEHAVIORAL: Guidance|BEHAVIORAL: ICBT for alcohol misuse","Drinks in preceding week as measured by Timeline Followback (TLFB), Change in preceding week alcohol consumption in terms of the total number of standard drinks consumed on each day during the previous 7 days., Screening, Pre-treatment, 4 weeks (mid-treatment), 8 weeks (post-treatment), 3 months after treatment|Heavy drinking days preceding week as measured by Timeline Followback (TLFB), Change in preceding week alcohol consumption in terms of the total number of heavy drinking days during the previous 7 days., Screening, Pre-treatment, 4 weeks (mid-treatment), 8 weeks (post-treatment), 3 months after treatment","ALL","ADULT, OLDER_ADULT",NA,80,"OTHER","INTERVENTIONAL","Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2020-11-01","2022-08-19","2022-08-19","2020-11-02","","2023-12-04","Online Therapy Unit, University of Regina, Regina, Saskatchewan, S4S 0A2, Canada","behavioral"
"1127","NCT05669833","Guselkumab vs Golimumab in PsA TNF Inadequate Responder Patients","RECRUITING","The trial is a double-blinded randomized study that will examine whether switching to a selective IL23 inhibitor (guselkumab) is more effective than switching to a second TNFi (golimumab) among patients with PsA who have an inadequate response to a TNFi.","NO","Psoriatic Arthritis","DRUG: Guselkumab|DRUG: Golimumab|DRUG: Placebo","Achievement of cDAPSA low disease activity, Clinical Disease Activity in Psoriatic Arthritis (cDAPSA): a combination score of tender joint count, swollen joint count, patient assessment of pain, and patient global assessment of disease activity. Scale from 0-154 where higher figures indicate worse status. Remission is considered ≤4 and low disease activity \>4 to ≤13., 12 Months|Investigator Global Assessment of Psoriasis of Clear or Almost Clear, Investigator global assessment (IGA) of psoriasis. A scale of 0-4 where higher figures indicate worse status. (0=clear, 1=almost clear, 2=mild, 3=moderate, 4=severe)., 12 Months","ALL","ADULT, OLDER_ADULT","PHASE3",300,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2023-07-14","2026-05","2026-05","2023-01-03","","2023-09-01","Hospital at the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States","drug"
"1128","NCT06069154","Ultrasound-Guided Percutaneous Cryoneurolysis to Treat Pain Following Thoracic Trauma","ENROLLING_BY_INVITATION","Thoracic trauma frequently involve rib fractures which can be very painful for 2-3 months. Unfortunately, pain is not simply a ""symptom"" of the injuries, but a significant cause of additional medical problems: pain causes people to breath and cough less deeply/often which increases the risk of collapsing little parts of the lung. These collapsed areas often lead to complications which can increase the risk of death. In addition, the higher the amount of pain in the weeks following the fracture, the higher the risk of developing persistent, chronic pain that can last indefinitely. So, providing excellent pain control is very important for a variety of reasons. Various nerve blocks can greatly decrease pain, but even the longest acting are measured in hours or days, and not the weeks and months for which rib fracture pain can last. Therefore, opioids-""narcotics""-are the most common pain control method provided to patients; but they frequently do not provide enough pain control, have undesirable side effects like nausea and vomiting, and are sometimes misused which can lead to addiction or overdose.

A prolonged nerve block lasting multiple months from a single treatment may be provided by freezing the nerve using a process called ""cryoneurolysis"". With cryoneurolysis and ultrasound machines, a very small ""probe"" may be placed through anesthetized skin and guided to the target nerve to allow freezing. The procedure takes about 5 minutes for each nerve, involves little discomfort, has no side effects, and cannot be misused or addictive. After 2-3 months, the nerve returns to normal functioning. The investigators have completed a small study suggesting that a single cryoneurolysis treatment provides potent short- and long-term pain relief following thoracic trauma with rib fractures. The ultimate objective of the proposed research is to determine if percutaneous cryoneurolysis is an effective non-opioid, single-application treatment for pain following traumatic rib fracture.

The current project is a pragmatic, multicenter, randomized, triple-masked (investigators, participants, statisticians), sham/placebo-controlled, parallel-arm, human-subjects, post-market clinical trial to determine if cryoneurolysis is an effective non-opioid treatment for pain following traumatic rib fractures.","NO","Rib Fracture|Rib Fracture Multiple","DEVICE: Cryoneurolysis|PROCEDURE: Local anesthetic peripheral nerve block|DEVICE: Sham Cryoneurolysis|PROCEDURE: Sham peripheral nerve block","Opioid consumption during first 2 post-intervention months, Cumulative opioid dose measured in oral oxycodone equivalents following intervention for 9 specific 24-hour time points over the first 2 months following surgery. With 9 time points (post-intervention days 1, 2, 3, 7, 14, 21, 30, 45 and 60), this will encompass 216 hours in total of the first 2 post-intervention months. In order to claim that percutaneous cryoneurolysis is superior to usual and customary analgesia, at least one of Outcomes 1 and 2 must be superior while the other at least noninferior., Post-intervention months 1 and 2, collected on days 1, 2, 3, 7, 14, 21, 30, 45 and 60; at each collection time point, opioid use for the previous 24 hours will be recorded|Average pain during first 2 post-intervention months, The area under the curve for the ""average"" daily pain scores over the first 2 post-intervention months. At 9 specific time points the ""average"" pain score following the intervention will be measured using the numeric rating scale. This is a 0-10 Likert scale measuring pain level with 0=no pain and 10= worst imaginable pain. In order to claim that percutaneous cryoneurolysis is superior to usual and customary analgesia, at least one of Outcomes 1 and 2 must be superior while the other at least noninferior., Post-intervention months 1 and 2, collected on days 1, 2, 3, 7, 14, 21, 30, 45 and 60; at each collection time point, the ""average"" pain score for the previous 24 hours will be recorded","ALL","ADULT, OLDER_ADULT",NA,120,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","2023-10-30","2025-03","2026-01","2023-10-05","","2023-11-01","University of California, San Diego, La Jolla, California, 92037, United States|Palo Alto VA, Palo Alto, California, 94304, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, 20814, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|Brigham and Women's Hospital, Boston, Massachusetts, 02115, United States|Cleveland Clinic, Cleveland, Ohio, 44195, United States","device"
"1129","NCT03786471","D-CARE - The Dementia Care Study: A Pragmatic Clinical Trial of Health System-Based Versus Community-Based Dementia Care","COMPLETED","D-CARE: The Dementia Care Study

This pragmatic randomized clinical trial of 2150 persons with dementia and their caregivers, at four diverse clinical trial sites in the United States, compares the effectiveness and cost-effectiveness of 18 months of health systems-based dementia care provided by a Dementia Care Specialist (nurse practitioner or physician assistant) who works within the heath system versus community-based dementia care provided by a Care Consultant (social worker, nurse, or therapist) who works at a Community-Based Organization (CBO).

The trial will also compare the effectiveness and cost-effectiveness of both models versus usual care.","NO","Dementia","OTHER: Health System-based Dementia Care|OTHER: Community-based Dementia Care|OTHER: Usual Care","Severity of Dementia-related Behavioral Symptoms, The severity of symptoms of psychopathology in persons with dementia as measured by the Neuro-Psychiatric Inventory Questionnaire - Severity (NPI-Q Severity). The NPI-Q Severity is a validated survey that assesses the caregiver's perception of the severity of 12 dementia-related psychiatric and behavioral symptoms. NPI-Q Severity score ranges from 0-36 with higher scores indicating more severe symptoms. The outcome will be a least squares marginal mean based on follow-up measurements at 3, 6, 12 and 18 months., 18 months|Caregiver Distress, The level of caregiver distress/strain as measured by the Modified Caregiver Strain Index (MCSI). The MCSI is a 13-item validated tool used to assess severity of caregiver strain. The index targets financial, physical, psychological, and social aspects of strain and is scored from 0 to 26 with higher scores indicating greater levels of strain. The outcome will be a least squares marginal mean based on follow-up measurements at 3, 6, 12 and 18 months., 18 months","ALL","CHILD, ADULT, OLDER_ADULT",NA,2176,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE","2019-06-28","2023-08-21","2023-08-21","2018-12-26","","2023-12-04","Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, 27109, United States|Geisinger Health, Wilkes-Barre, Pennsylvania, 18765, United States|University of Texas Medical Branch, Galveston, Texas, 77555, United States|Baylor Scott & White, Temple, Texas, 76508, United States","other"
"1130","NCT04562571","Impact of a Communication Toolkit on Antibiotic Prescribed by General Practitioners: a Randomised Trial","COMPLETED","This study is a pragmatic, randomised, controlled, before-after interventional study conducted in one region in France in primary care. The GPs in the intervention group will receive a public commitment charter, a non prescription pad and a patient information leaflet to be used when antibiotics are prescribed, while the control group will be not aware of the intervention.","NO","Antibiotic Prescription","OTHER: Charter & patient information leaflets","Impact of a public commitment charter associated with patient information leaflets on antibiotic's prescription, prescription rate by all included GPs of all systemic antibiotics (J01 code according to the Anatomical Therapeutic Chemical - ATC - 2017 classification) between the ""before"" (2017-2018) and ""after"" (2018-2019) period using an auto regressive integrated moving average (ARIMA) model, 2 years","ALL","CHILD, ADULT, OLDER_ADULT",NA,349,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER","2018-10-01","2019-09-30","2019-09-30","2020-09-24","","2020-09-24","Université de Lorraine, Nancy, Grand Est, 54000, France","other"
"1131","NCT00694954","Capsule Endoscopy vs Standard of Care for Obscure Intestinal Bleeding","COMPLETED","The role of capsule endoscopy (CE) in patients with obscure / occult gastrointestinal (GI) bleeding remains unclear. This pragmatic randomized controlled trial is designed to determine the diagnostic yield and clinical outcomes of patients with obscure GI bleeding who receive CE compared to those who receive usual standard care.","NO","Iron Deficiency Anemia","DEVICE: Diagnostic Test - Given Imaging Pillcam|OTHER: Diagnostics","diagnostic yield, 48 weeks","ALL","ADULT, OLDER_ADULT",NA,160,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC","2007-02","2015-12","2016-07","2008-06-11","","2017-12-05","University of Calgary, Calgary, Alberta, T2N 4N1, Canada","device"
"1132","NCT04358133","Low Dose Morphine to Relieve Dyspnea in Acute Respiratory Failure (OPIDYS)","COMPLETED","This study evaluates a pharmacological intervention to relieve dyspnea in intensive care unit patients. Indeed, opioids can be particularly beneficial since 1) dyspnea and pain share many similarities, 2) the benefit of opioids on dyspnea has been clearly demonstrated in other populations. However, to date, data regarding the impact of morphine on dyspnea in intensive care unit patients admitted for acute respiratory failure are scarce. There may be a reluctance of physicians to prescribe opioids that is not scientifically justified.

The study will focus on patient reported outcome (PRO) criteria. The ultimate goal of this pilot study is to design the protocol of a future pragmatic trial.","NO","Acute Respiratory Failure","DRUG: Chlorhydrate de morphine|DRUG: NaCl 0,9%,","Average dyspnea over 24 hours, Dyspnea will be assessed by VAS-dyspnea (ranging from zero, no dyspnea to 100, worst possible dyspnea) patient reported outcome criteria (PRO)., systematically evaluated every 4 hours over 24 hours and whenever necessary","ALL","ADULT, OLDER_ADULT","PHASE2",23,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT","2020-12-16","2022-10-07","2022-10-07","2020-04-24","","2022-10-25","Groupe Hospitalier Pitié Salpetriere, Paris, 75013, France","drug"
"1133","NCT05419154","Full-Weightbearing Following Ankle Fractures Surgically Treated - The FAST-Mobility Trial","RECRUITING","The aim of this study is to investigate complication rates and clinical outcome following mobilization and pain-dependent full weight-bearing in a large cohort of patients with surgically treated ankle fractures.

The study design is a pragmatic, multi-center, multi-surgeon, prospective outcome study. Included will be adult patients with any isolated ankle fracture which was treated surgically without additional syndesmotic stabilization (suture-button or syndesmotic screw). Patients included are advised to conduct pain-dependent full weight-bearing without immobilization starting at the day of study inclusion. Follow-up points are 6 weeks, 3-, 6-, and 12 months. Data assessment include radiographic follow-up, complication assessment, return to work/sports, rang of ankle motion, and patient-rated outcome scores (MoxFQ, EFAS, OMAS, EQ-5D-5L). The primary outcomes are complications at 3 months and patient-rated outcome at 12 months. The sample size calculation revealed a final total sample size of 360 patients.","NO","Rehabilitation of Surgically Treated Ankle Fractures","PROCEDURE: Early pain dependent weight-bearing without immobilization","Complications at 3 months follow-up, Complications, including surgical side infections, secondary dislocation, or thromboembolic events., 3 months +/- 14 Days|Patient-rated outcome at 12 months follow-up, Olerud and Mollander Ankle Score (0-100 points; 100=best score), 12 months +/- 30 days","ALL","ADULT, OLDER_ADULT",NA,360,"OTHER","INTERVENTIONAL","Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT","2022-05-30","2023-12-31","2024-05-01","2022-06-15","","2022-07-06","Department of Trauma Surgery, Medical University of Munich, Munich, 80336, Germany","procedure"
"1134","NCT04098354","Telemonitoring of Hypertensive Patients With Chronic Kidney Disease","RECRUITING","Background:

Hypertension, together with poorly controlled blood pressure (BP) are known risk factors for kidney disease and progression to kidney failure as well as increased cardiovascular (CV) morbidity and mortality. Several studies in patients without kidney disease have demonstrated the efficacy of home BP telemonitoring (HBPT) for BP control.

Objective:

The primary aim of this study is to assess the mean difference in systolic BP (SBP) at 12 months, from baseline in remote dwelling patients with hypertension and chronic kidney disease (CKD) in Northern Alberta, Canada, comparing HBPT + usual care versus HBPT + a case manager. Other secondary objectives, including cost-effectiveness and acceptability of HBPT as well as occurrence of adverse events will also be assessed.

Methods

Design:

This study is designed as a pragmatic randomized controlled trial (RCT) of HBPT plus clinical case management compared to HBPT with usual care.

Setting:

Peace River region in Northern Alberta Region, Canada.

Patients:

Primary care patients with CKD and hypertension.

Measurements:

Eligible patients will be randomized 1:1 to HBPT + BP case management versus HBPT + usual care. In the intervention arm, BP will be measured 4 times daily for 1 week, with medications titrated up or down by the study case manager until guideline targets (systolic BP \[SBP\]: \<130mmHg) are achieved. Once BP is controlled, (i.e., to guideline-concordant targets), this 1-week protocol will be repeated every 3 months for 1 year. Patients in the control arm will also follow the same BP measurement protocol, however, there will be no interactions with the case manager; they will share their BP readings with their primary care physicians or nurse practitioners at scheduled visits.

Limitations:

Potential limitations of this study include the relatively short duration of follow-up, possible technological pitfalls, and need for patients to own a smartphone and have access to the internet to participate.

Conclusions:

As this study will focus on a high-risk population that has been characterized by a large care gap, it will generate important evidence that would allow targeted and effective population-level strategies to be implemented to improve health outcomes for high-risk hypertensive CKD patients in Canada's remote communities.","NO","Chronic Kidney Diseases","DIAGNOSTIC_TEST: home BP telemonitoring system .","Effectiveness of telemonitoring and protocol-based case management versus usual care:, The primary outcome will be the mean difference (MD) in home SBP at 12 months, from baseline values., Upto 12 months","ALL","ADULT, OLDER_ADULT",NA,146,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC","2022-04-15","2025-07-31","2025-07-31","2019-09-23","","2024-03-12","University of Alberta, Edmonton, Albert, T6G 2C8, Canada","diagnostic_test"
"1135","NCT05190653","Early Integration of Palliative and Supportive Care in Cellular Therapy","RECRUITING","Research has shown that early palliative care in cancer care is associated with improved symptom management, better prognostic understanding, improved quality of life for patients and family caregivers, and even improved survival. Yet, in spite of the proven benefits of integration of palliative care in oncology, it has been well established that patients with hematologic malignancies and those undergoing cellular therapy (hematopoietic stem cell transplantation (HSCT) and chimeric antigen receptor (CAR) T-cell therapy) do not routinely receive palliative care. Most of the published research on the early integration of palliative care in oncology describes studies that have involved patients with solid tumours. To date, only one randomized trial examining the impact of integrated palliative care among patients undergoing HSCT has been published and there have been no studies examining the impact of integrated palliative care for patients undergoing CAR T-cell therapy. The American Society of Clinical Oncology recommends early palliative care for patients with advanced cancers or for those with high symptom burden. Patients with blood cancers experience high symptom burden and in the last 30 days of life, compared to patients with solid tumours, patients with blood cancers are more likely to die in hospital, have more intensive care unit admissions, have prolonged hospitalizations (\>14 days), and pass away in an acute care facility. There is an urgent need to proactively address suffering throughout cellular therapy trajectories, even before treatment starts, so that patients and caregivers are not inevitably waiting for symptoms to arise before they can be addressed and to optimize quality of life for patients undergoing transplant as well as their family caregivers.

PALS_CT will compare early palliative care to standard care for patients and their family caregivers undergoing HSCT or CAR T-cell therapy for blood cancers.","NO","Leukemia|Lymphoma|Multiple Myeloma|Blood Cancer|Stem Cell Transplant Complications|Chimeric Antigen Receptor T-cell Therapy","OTHER: Early palliative and supportive care","Patient quality of life, The primary outcome of the study, QOL, will be assessed using the McGill Quality of Life Questionnaire - Expanded (MQOL-E) summary score of QOL monthly for a period of three months. The MQOL-E consists of 21 items with possible scores of 0 to 10 for each item. The higher the score, the better the QOL. The trajectories of QOL will be evaluated rather than looking at change in scores as it is anticipated that there will be significant fluctuation in QOL scores over time. The Functional Assessment of Cancer Therapy - Bone Marrow Transplant (FACT-BMT) will also be used to measure QOL. The FACT-BMT is more specific to BMT and may capture issues that are unique to BMT. The FACT-BMT consists of 47 items; a 5-point Likert-type scale is used for item. The total score ranges from 0-196 and higher scores indicate better QOL., 3 months","ALL","ADULT, OLDER_ADULT",NA,152,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE","2022-04-08","2024-04-08","2024-12","2022-01-13","","2023-03-02","Tom Baker Cancer Centre, Calgary, Alberta, Canada","other"
"1136","NCT03219151","Evaluation of a Gamified Electronic Medication Administration Record (eMAR) System","COMPLETED","This research project will evaluate a gamified electronic medication administration record (eMAR) system simulator as a mechanism to improve students' learning of medication administration in simulated clinical education. The gamified eMAR simulator will be evaluated using a pragmatic randomized controlled trial design in order to determine the effectiveness of the game as a technology-enabled, online learning intervention.","NO","Nurse's Role|Medication Administered in Error|Simulation of Physical Illness","DEVICE: eMAR game|OTHER: Normal pre-work","Frequency of medication errors, Number medication errors generated by nursing students, as assessed by a previously modified researcher-developed rubric that assists observers to quantify the number of medication errors generated during a return-demonstration in clinical simulation (DOI:10.1097/NNE.0000000000000361 / 10.1016/j.ecns.2017.05.016). The quantity of medication errors are codified in six categories: infection control; assessment; verification; scan; administration; documentation., weeks 6-9","ALL","ADULT, OLDER_ADULT",NA,115,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: OTHER","2017-09-29","2018-03-31","2018-04-30","2017-07-17","","2018-06-25","Western University, London, Ontario, N6A3K7, Canada","device"
"1137","NCT04814654","CHALO! 2.0: A Mobile Technology Based Intervention to Accelerate HIV Testing and Linkage to Preventive Treatment.","ACTIVE_NOT_RECRUITING","While HIV prevalence among MSM in India is 10-15 times higher than in the general population (4.3% vs 0.3%), current interventions for Indian MSM have limited reach. In order to reduce the burden of HIV in MSM, innovative, far-reaching prevention and treatment strategies are needed. Guided by the increase access to internet-based social and mobile technologies (SMT) (e.g. SMS, WhatsApp, dating apps) globally and in India, this is a 3-arm parallel, pragmatic randomized controlled trial of community-developed, theory based behavioral intervention (CHALO! 2.0) delivered via WhatsApp (secure SMS application) compared to an Attention-Matched Control, or a Digital Coupon for free HIV testing only control conditions. The primary outcomes are HIV-testing at 6 months (3 months after the end of the intervention) and linkage-to-preventive care (counseling or pre-exposure prophylaxis) at 12 months. The secondary outcomes are the frequency of HIV-testing by 18 months.","NO","Hiv","BEHAVIORAL: CHALO! 2.0|BEHAVIORAL: Attention-matched control (AMC)|BEHAVIORAL: Digital coupon only (DCO)","HIV testing, dichotomous measure (yes/no) of receipt of a verified HIV test, within six months from randomization|HIV testing, dichotomous measure (yes/no) of receipt of a verified HIV test, within 12 months from randomization|Linkage to care, a composite of linkage to PrEP, counseling, or HIV treatment (yes/no), within 12 months from randomization","MALE","ADULT, OLDER_ADULT",NA,1005,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION","2022-04-22","2024-07","2025-01","2021-03-24","","2024-01-12","The Humsafar Trust, Mumbai, Maharashtra, India","behavioral"
"1138","NCT03722654","Measurement Training and Feedback System: Family Therapy and CBT","COMPLETED","This study aims to advance the science of mental health services for adolescent externalizing problems (AEPs) by developing therapist training procedures to increase fidelity to evidence-based interventions (EBIs) in usual care. Two widely endorsed approaches are consistently effective for treating AEPs: family therapy and CBT. Importantly, stronger fidelity to core EBIs of these approaches predicts better outcomes in research and community settings. Yet these EBIs are not widely implemented with fidelity. To help close this quality gap in adolescent services, investigators will develop an online intervention to strengthen fidelity to these EBIs in routine care: Measurement Training and Feedback System for implementation (MTFS-I). MTFS-I will target two essential aspects of EBI fidelity: Training components will seek to improve EBI self-monitoring, and a Feedback component will seek to increase EBI utilization. In keeping with NIMH's Experimental Therapeutics paradigm, this study will examine whether an Intervention (MTFS-I) has direct impact on immediate Targets (EBI self-monitoring and utilization).

If promising, future R01 studies will examine links among intervention, targets, and ultimate outcomes (AEPs). The MTFS-I package will be an online quality assurance system completed by therapists and supervisors that can be readily sustained in usual care. Two weekly Training components will adapt gold-standard observational fidelity coding procedures to promote improved self-monitoring of the targeted EBIs, and a monthly Feedback component will adapt a measurement feedback system to promote increased utilization of these EBIs in everyday practice. To maximize provider investment, sites will delineate their own fidelity standards for family therapy and CBT and help design feedback report templates.

The proposed study will be among the first to (1) test whether training therapists in observational assessment of EBI fidelity increases the accuracy with which they self-monitor use of those EBIs and (2) adapt measurement feedback procedures to track and improve therapist utilization of EBIs. To achieve study aims the investigators will first partner with two community clinics to develop sustainable MTFS-I procedures using a three-phase Pilot process. Investigators will then initiate an experimental Trial during which therapists (n = 32, treating 192 clients) at four different clinics will be randomized to MTFS-I versus no-intervention Control. In both conditions two kinds of data will be collected: therapist-report checklists on use of core family therapy and CBT techniques with adolescent cases and treatment session audio recordings. MTFS-I uptake will be tracked electronically for online components (Aim 1: MTFS feasibility). Session recordings will be coded by observers for three facets of EBI fidelity: adherence (extent of EBI utilization), working alliance, and therapist competence. Observer ratings will measure the strength of EBI self-monitoring (Aim 2: therapist reliability and accuracy) and fidelity (Aim 3 \[EBI utilization\] \& Aim 4 \[alliance, competence\]). If effective, MTFS-I could be adapted to promote EBI fidelity for a variety of clinical populations and approaches.","NO","Adolescent Behavior","BEHAVIORAL: MTFS-I Installation","Change in EBI Fidelity: ITT-ABP Therapist-Report, Inventory of Therapy Techniques for Adolescent Behavior Problems is a 24-item, post-session, therapist-report fidelity tool that meets key criteria for pragmatic measures: relevance to stakeholders, low burden, broad applicability, strong psychometrics, and useful for data-driven decision-making (actionable). It requires 2-3 minutes to complete and was derived from validated observational fidelity tools for manualized treatments via a stakeholder-informed instrument adaptation process. The FT and CBT items each measure the adherence (i.e., thoroughness and frequency) with which each technique was used based on a 5-point Likert-type scale: 0 = Not at all, 1 = A little bit, 2 = Moderately, 3 = Considerably, 4 = Extensively., Conclusion of every session for 1 year","ALL","CHILD, ADULT, OLDER_ADULT",NA,42,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT","2020-09-01","2022-06-01","2022-06-30","2018-10-29","","2023-08-31","Roberto Clemente Center, New York, New York, 10009, United States|The LGBT Community Center, New York, New York, 10011, United States|Montefiore, New York, New York, 10461, United States","behavioral"
"1139","NCT03200054","Postpartum Adherence Clubs for Antiretroviral Therapy","COMPLETED","South Africa is implementing the policy of universal initiation of lifelong antiretroviral therapy (ART) in all HIV-infected pregnant women regardless of CD4 cell count or disease stage (""Option B+""). There is a recognised need for innovative models of service delivery to support adherence and retention in care in this group, particularly during the postpartum period. The investigators are conducting a pragmatic randomised control trial to compare virological outcomes 24 months postpartum in two models of service delivery for provision of HIV care and treatment services postpartum in women who initiated ART during pregnancy: local adult ART clinics and community-based adherence clubs.","NO","Hiv","OTHER: Adherence Clubs","Viral suppression, Time to viral load \>1000 copies per ml, 24 months","FEMALE","ADULT, OLDER_ADULT",NA,412,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH","2016-01","2020-01","2020-11","2017-06-27","","2022-05-18","Gugulethu Community Health Centre, Cape Town, Western Cape, 7750, South Africa","other"
"1140","NCT05744154","Reducing Low-value Care for Trauma Admissions","NOT_YET_RECRUITING","In Canada, injury leads to more potential years of life lost and to greater costs than heart and stroke diseases combined. Furthermore, more than 50% of patients hospitalised following injury do not receive optimal care, 20% of injury deaths are estimated to be preventable, and significant variations in injury mortality and morbidity have been observed across trauma centers in Canada, the United Kingdom, Australia and the United States. Over the past decades, emphasis on adherence to evidence-based processes of care (rewards for doing more) and rapid innovation in imaging and therapeutic techniques has led to an exponential rise in unnecessary tests and procedures. Whole body computed tomography scan for single-system trauma is just one example. Low-value clinical practices, defined as ""the common use of a particular intervention when the benefits don't justify the potential harm or cost"" consume up to 30% of healthcare budgets. They expose patients to physical and psychological adverse events and put enormous pressure on healthcare budgets, thereby threatening accessible, universal health care. The objective of this research project is to evaluate the effectiveness of an intervention targeting reductions in low-value clinical practices for injury admissions. The results of this study should directly lead to improvements in the health systems across Canada and elsewhere. Medium and long-term advantages include an increase in healthcare efficiency and effectiveness, a reduction in costs, an increase in the availability of resources for patients who need them and a reduction in adverse events for patients hospitalized following injury.","NO","Trauma Injury","BEHAVIORAL: Audit & feedback with educational outreach and facilitation|BEHAVIORAL: Simple audit & feedback (usual practice)","Low-value initial diagnostic imaging, Proportion of low-risk patients who receive head, cervical spine or whole-body computed tomography in the emergency department, 18-month interval (6 to 24 months) after implementation","ALL","CHILD, ADULT, OLDER_ADULT",NA,29,"OTHER","INTERVENTIONAL","Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH","2023-06","2025-09","2026-12","2023-02-24","","2023-02-24","Université Laval, Québec, Quebec, Canada","behavioral"
